group,sub,symbol,amt_1d,chg_1d,amt_5d,chg_5d,amt_20d,chg_20d,amt_60d,chg_60d,amt_1y,chg_1y,amt_ytd,ytd
電子–通信網路,電子中游-網通,智易,0.07473,0.87,7.36433,-1.15,17.6702,-5.75,79.98433,-18.1,682.29321,3.63,7.36433,-1.15
其他,傳產-塑膠,宏全,0.06853,0.84,6.894,-1.65,23.9232,-1.24,75.88227,-4.42,374.78528,-14.27,6.894,-1.65
電子–半導體,電子上游-IP/ASIC,M31,2.95,-2.27,34.14675,16.98,53.78007,6.39,160.04385,6.39,925.56846,-26.59,34.14675,16.98
電子–通信網路,電子中游-通訊設備,星通,2.24,0.56,10.49114,10.63,39.35838,27.34,53.91653,53.41,105.14858,13.04,10.49114,10.63
運動休閒,傳產-運動休閒,喬山,1.56,1.68,5.19551,-1.32,15.98409,-7.17,59.9835,-12.87,439.72203,-13.35,5.19551,-1.32
電機機械,傳產-電機,台灣精銳,3.02,-1.57,15.26481,7.67,28.19001,3.24,109.23559,12.68,1366.21961,-7.52,15.26481,7.67
電子–光電,電子下游-安全監控,昇銳,0.00926,-1.71,1.05585,-1.84,4.65773,10.15,8.27589,-4.72,335.25948,18.1,1.05585,-1.84
電子–電子零組件,電子上游-連接元件,優群,1,2.58,4.69718,-2.52,16.18399,-6.06,118.96242,-13.41,354.32236,17.12,4.69718,-2.52
電子–電腦及週邊設備,電子下游-筆記型電腦,藍天,0.01738,0,1.24553,-2.2,4.82896,-5.73,15.91231,-4.18,109.10838,-16.65,1.24553,-2.2
電子–電腦及週邊設備,電子下游-電腦周邊,昆盈,0.03989,-0.29,5.95203,0.58,13.28598,-5.18,61.91915,-12.67,742.93384,-13.52,5.95203,0.58
塑膠工業,傳產-塑膠,台苯,0.01958,-1.93,1.0103,-0.34,3.1411,-1.56,7.52887,-0.11,23.78001,-3.81,1.0103,-0.34
電子–半導體,電子上游-晶圓材料,嘉晶,2.15,-5.17,24.70387,17.42,39.58256,16.28,138.80923,14.94,370.67729,52.79,24.70387,17.42
