group,sub,symbol,amt_1d,chg_1d,amt_5d,chg_5d,amt_20d,chg_20d,amt_60d,chg_60d,amt_1y,chg_1y,amt_ytd,ytd
電子–通信網路,電子中游-網通,眾達-KY,2.93,-0.78,31.58756,-9.15,300.71928,-0.39,517.31292,15.18,1709.153,-2.74,31.58756,-9.15
電子–其他電子,電子上游-IC-半導體設備,矽科宏晟,3.4,-4.51,12.23561,-12.37,23.88627,0,23.88627,0,23.88627,0,12.23561,-12.37
電子–半導體,電子上游-記憶體銷售,凌航,4.05,1.62,50.38146,3.93,95.40436,37.8,146.87878,101.74,178.67413,0,50.38146,3.93
金融保險,金融-金控,玉山金,5.9,-0.46,82.38932,-2.81,439.46286,2.18,1120.46526,0.92,2698.62745,26.93,82.38932,-2.81
生技醫療,傳產-生技,晟德,0.09241,1.61,5.08545,-3.25,19.02901,8.05,43.16946,17.86,117.79338,2.97,5.08545,-3.25
電子–通信網路,電子中游-通訊設備,耀登,4.87,9.69,4.8323,5.09,36.62752,26.96,39.99648,20.74,72.95083,17.08,4.8323,5.09
電子–半導體,電子上游-IC-封測,福懋科,10.2,-4.01,113.03328,4.02,283.91804,35.96,485.58019,102.71,513.54347,164.65,113.03328,4.02
塑膠工業,傳產-塑膠,台塑,19.2,-2.28,70.66828,6.92,150.10987,3.47,572.6748,9.16,2044.75962,30.72,70.66828,6.92
電子–電腦及週邊設備,電子中游-EMS,大眾控,0.04751,0.4,6.38291,-6.99,76.48724,64.29,81.33984,33.16,159.5037,33.65,6.38291,-6.99
電子–光電,電子下游-太陽能,元晶,85.4,2.24,89.77682,11.83,204.88226,108,220.31666,115.92,364.59755,95,89.77682,11.83
電子–電子零組件,電子上游-PCB-製造,精成科,25.1,5.07,42.2009,-3.13,179.96256,-9.58,1275.84547,-3.56,5265.62175,77.49,42.2009,-3.13
電子–其他電子,電子中游-儀器設備工程,致茂,18.3,-0.32,168.96824,19.35,568.05169,14.48,2270.84778,43.63,4515.31165,158.82,168.96824,19.35
電子–光電,電子中游-光學鏡片,邑錡,3.36,-2.94,9.2509,3.42,37.32746,2.64,106.1579,0.37,575.13226,82.21,9.2509,3.42
電子–半導體,電子上游-IC-代工,聯電,159,4.55,538.87223,7.21,928.17773,6.45,1732.29325,16.17,5419.07558,37.43,538.87223,7.21
電子–半導體,電子上游-IC-半導體設備,萬潤,18.1,-5.6,81.88946,7.97,142.81092,11.02,358.41451,5.79,2531.73282,13.03,81.88946,7.97
電子–其他電子,傳產-其他,鑫科,0.05502,0.38,11.69194,-7.22,33.92085,17.11,39.72522,11.77,241.73616,-15.12,11.69194,-7.22
電子–電腦及週邊設備,電子下游-電腦周邊,廣明,4.53,-2.14,61.36387,9.35,109.22086,15.84,214.12263,8.84,1060.66378,19.4,61.36387,9.35
電子–其他電子,電子中游-儀器設備工程,帆宣,5.43,-3.48,68.99755,4.36,210.47171,21.1,347.44529,17.86,972.10456,101.66,68.99755,4.36
電子–通信網路,電子中游-通訊設備,波若威,19.6,-1.34,171.09212,-6.15,679.58526,4.03,2016.54997,75.59,7611.37282,149.45,171.09212,-6.15
電子–光電,電子中游-光學鏡片,今國光,3.11,-1.67,27.13244,-10.18,177.61027,5.45,422.11687,35.59,606.35208,127.7,27.13244,-10.18
電子–電子零組件,電子上游-PCB-材料設備,聯茂,6.28,1.33,74.02942,-0.44,160.65856,-0.88,607.85959,10.78,2407.92927,65.98,74.02942,-0.44
電子–電腦及週邊設備,電子中游-機殼,勤誠,17.4,-0.98,149.97998,-8.36,421.20209,1.1,1429.16719,49.76,3211.78598,289.53,149.97998,-8.36
電子–電腦及週邊設備,電子下游-工業電腦,事欣科,5.77,-0.85,18.39464,2.81,121.82767,15.58,187.06025,0,1754.06462,99.25,18.39464,2.81
航運業,傳產-航運,陽明,6.25,-0.53,54.16291,1.08,195.64176,11.71,739.23999,9.11,4947.04516,-10.11,54.16291,1.08
航運業,傳產-航運,長榮航,8.89,0.41,35.27983,-0.27,145.98833,7.21,477.36354,-2.28,2873.96699,-15.63,35.27983,-0.27
電子–電子零組件,電子上游-PCB-製造,泰鼎-KY,16.1,0.66,61.43957,16.16,179.60525,50.59,218.2653,59.75,436.78553,26.37,61.43957,16.16
金融保險,金融-金控,台新新光金,5.03,0.24,67.90036,1.72,909.61496,7.79,1464.67044,11.86,3414.82903,27.22,67.90036,1.72
電子–其他電子,電子中游-儀器設備工程,弘塑,12.7,-1.91,166.55413,17.31,334.04564,22.41,870.11924,10.91,3444.7763,34.57,166.55413,17.31
化學工業,傳產-化學工業,國精化,2.06,0.9,38.26417,-10.93,178.02878,8.79,428.38639,-18.14,1172.20102,260.69,38.26417,-10.93
電子–通信網路,電子下游-電信服務,台灣大,6.15,0,38.04373,-1.38,358.12389,2.39,648.87569,-3.17,2359.41177,-0.06,38.04373,-1.38
航運業,傳產-航運,亞航,4.19,0.76,7.99225,0.96,35.8646,3.34,141.51596,-13.49,798.69351,47.92,7.99225,0.96
電子–電子零組件,電子上游-連接元件,湧德,3.01,-0.41,66.6604,6.49,125.45542,20,271.85213,30.16,918.65762,52.36,66.6604,6.49
電子–通信網路,電子中游-通訊設備,兆赫,2.13,-1.57,26.77048,-3.6,280.40658,-7.62,430.66247,79.86,454.4221,83.75,26.77048,-3.6
電子–電子零組件,電子上游-被動元件,光頡,6,7.36,61.35792,-2.23,122.61009,13.29,262.69502,52.67,288.39972,55.21,61.35792,-2.23
電子–電子零組件,電子中游-變壓器與UPS,系統電,7.69,1.23,36.62508,-4.41,319.39514,3.17,578.61578,-9.22,1958.28542,76.53,36.62508,-4.41
電子–電子零組件,電子上游-PCB-製造,臻鼎-KY,6.78,0.35,64.38932,0.7,238.49468,-3.05,1020.73349,-10.34,3985.69416,32.49,64.38932,0.7
電子–光電,電子中游-儀器設備工程,廣運,0.09462,0.14,19.18406,-2.22,59.8677,9.47,91.56288,-3.69,490.65042,-19.78,19.18406,-2.22
電子–電腦及週邊設備,電子中游-EMS,和碩,4.84,-1.56,45.80917,2.77,171.09562,0.71,429.48853,-1.81,1361.95494,-18.88,45.80917,2.77
航運業,傳產-航運,龍德造船,2.96,-1.48,9.07864,1.5,62.5274,7.57,148.19982,-5.59,970.61344,33.5,9.07864,1.5
電子–電子通路,電子上游-IC-通路,大聯大,6.35,1.1,44.15883,9.11,167.82446,-3.2,530.69419,3.25,1268.7013,-2.16,44.15883,9.11
生技醫療,傳產-生技,康霈*,8.14,4.23,34.19575,-8.39,148.41433,-16.96,804.57831,-13.41,5379.07067,123.62,34.19575,-8.39
航運業,傳產-電機,長榮航太,6.71,-4.64,17.79006,6.34,85.25682,5.59,274.04057,-7.08,1463.35346,66.1,17.79006,6.34
電子–電子零組件,電子上游-PCB-製造,健鼎,5.34,0.63,55.05748,-0.16,219.1039,5.67,659.81748,1.93,2153.11796,70.35,55.05748,-0.16
電子–其他電子,電子上游-PCB-材料設備,昇貿,11,2.76,39.9975,4.83,243.49809,10.26,535.77283,-0.91,2094.94066,89.65,39.9975,4.83
金融保險,金融-金控,富邦金,11.3,-1.75,66.64106,0.94,323.31203,0.73,1416.52131,10.48,5152.26431,16.39,66.64106,0.94
電子–半導體,電子上游-IC-設計,祥碩,50.8,9.8,104.8638,5.37,192.71296,2.41,534.79019,-13.56,3177.96177,-32.87,104.8638,5.37
電子–通信網路,軟體-系統整合,華電網,10.9,9.94,20.28396,0.18,87.84656,23.55,215.8398,121.18,252.21859,165.27,20.28396,0.18
電子–半導體,電子上游-IC-設計,晶相光,0.02891,0.13,9.3532,3.57,19.27188,3.71,35.36421,23,61.22642,-5.04,9.3532,3.57
航運業,傳產-航運,華航,3.1,0.25,27.944,0.99,111.71384,9.68,280.79471,0.49,1258.13023,-15.81,27.944,0.99
電子–電子零組件,電子上游-PCB-製造,瀚宇博,11.5,4.94,21.52974,-1.3,119.21585,-5.3,686.4195,2.59,1483.34564,86.91,21.52974,-1.3
電子–通信網路,電子下游-電信服務,中華電,8.62,-0.37,58.75899,2.3,142.04437,2.69,494.00007,0.75,2823.41387,12.72,58.75899,2.3
電子–電子零組件,電子上游-PCB-製造,高技,7.75,0.16,65.54695,-1.74,351.19461,-10.23,1414.68892,1.14,5442.52005,206.62,65.54695,-1.74
電器電纜,傳產-電線電纜,華榮,2.38,-1.45,22.74031,-1.3,89.41645,2.85,264.73198,19.78,513.03136,63.78,22.74031,-1.3
電子–電腦及週邊設備,電子中游-散熱零組件,邁科,1.72,0.93,22.3404,-8.47,93.33888,11.57,159.22386,0,159.22386,0,22.3404,-8.47
電子–其他電子,電子中游-機殼,可成,9.1,-0.73,45.81057,-1.2,149.1473,7.93,412.13018,16.35,1687.87676,10.25,45.81057,-1.2
電子–半導體,電子上游-IC-半導體設備,竑騰,2.2,1.13,21.69791,-8.63,64.17221,6.62,135.72762,51.66,231.14235,0,21.69791,-8.63
電機機械,傳產-電機,大同,5.18,2.3,24.09826,-3.33,183.27123,-6.15,471.53268,-20.78,1744.71227,-27.67,24.09826,-3.33
其他,傳產-其他,智通*,1.55,-1.46,7.50859,2.39,27.89858,0.59,155.61392,-17.15,1020.721,108.74,7.50859,2.39
電子–光電,電子中游-儀器設備工程,東捷,1.29,-1.39,19.48555,-0.85,47.55395,3.99,79.72038,6.35,262.83365,1.98,19.48555,-0.85
文化創意,軟體-遊戲,鈊象,5.44,-0.14,52.64009,1.25,148.9419,1.96,870.41855,-5.56,3791.61787,-18.62,52.64009,1.25
電子–半導體,電子中游-LCD-TFT面板,新應材,11.1,1.1,159.21099,3.76,296.51986,15.19,813.37974,2.36,2835.14179,0,159.21099,3.76
數位雲端,軟體-其他,創泓科技,0.08094,-2.65,6.54646,1.8,16.08033,16.49,26.83551,26.97,70.65243,0,6.54646,1.8
電子–半導體,電子上游-LED照明及光元件,采鈺,2.84,-0.9,21.42868,-2.46,78.78034,3.54,217.99444,8.81,1206.50759,-7.5,21.42868,-2.46
電子–電腦及週邊設備,電子中游-EMS,神達,43.6,-3.37,191.92458,6.48,415.37227,-2.54,2099.90399,-4.56,9613.78689,50.55,191.92458,6.48
電子–電腦及週邊設備,電子中游-主機板,微星,13.6,0.73,35.56084,0.42,121.1189,-3.02,557.6956,-14.98,1984.29851,-45.45,35.56084,0.42
電子–光電,電子上游-LED照明及光元件,億光,1.62,1.08,15.4056,0.18,88.67407,9.5,138.97901,-11.52,414.8631,-29.71,15.4056,0.18
電子–其他電子,電子上游-IC-其他,光焱科技,0.01092,-0.66,8.5622,9.6,19.03453,30.67,40.4219,86.73,89.18071,0,8.5622,9.6
金融保險,金融-金控,中信金,4.22,0.61,78.40342,-1.69,476.79612,9.79,1010.44502,17.08,5087.68826,35.99,78.40342,-1.69
電子–通信網路,電子下游-手機製造,宏達電,2.82,-0.65,22.54549,-5.89,107.13794,-10.62,344.02378,-15.2,2807.37638,2.21,22.54549,-5.89
電子–光電,電子中游-LCD-TFT面板,元太,13.9,-1.73,83.81075,-12.37,180.31686,-6.47,636.37868,-24.73,3322.07466,-32.34,83.81075,-12.37
電子–光電,電子上游-PCB-材料設備,高僑,0.06495,0.35,4.86947,-5.82,23.35938,30.41,25.51823,21.98,83.423,15.09,4.86947,-5.82
電子–電腦及週邊設備,電子中游-主機板,技嘉,12,-1.84,77.59818,-1.8,195.93457,0.82,653.26637,-15.22,2987.83083,-2.31,77.59818,-1.8
金融保險,金融-金控,元大金,3.19,-0.73,79.20821,4.58,265.57791,7.59,593.36786,19.48,2096.35031,30.23,79.20821,4.58
電子–半導體,電子上游-IC-設計,聯詠,12.6,-1.43,130.26052,2.94,263.87634,1.45,681.28762,-7,3256.86081,-16.05,130.26052,2.94
電子–電子零組件,電子上游-PCB-材料設備,志聖,10,-0.77,62.37483,4.19,198.74473,16,313.31943,43.8,836.40271,48.51,62.37483,4.19
電子–半導體,電子上游-IC-封測,博磊,0.04686,1.08,3.81189,-10.99,33.3647,-1.52,105.05977,1.25,158.02913,44.71,3.81189,-10.99
電子–電子零組件,電子上游-PCB-製造,律勝,0.00701,0,0.80517,-7.32,13.65776,24.59,16.59199,61.21,23.876,35.99,0.80517,-7.32
電子–通信網路,電子上游-PCB-製造,新復興,1.17,-1.05,12.81128,-3.39,79.25019,34.12,95.05135,14.11,473.9213,-36.52,12.81128,-3.39
電子–電子零組件,電子上游-被動元件,日電貿,7.21,1.3,97.2485,1.32,265.3421,5.95,569.83421,31.36,843.93171,64.49,97.2485,1.32
生技醫療,傳產-生技,美時,7.58,1.57,35.2132,1.41,126.52889,-1.54,686.22031,0.88,1461.68493,12.69,35.2132,1.41
其他,傳產-其他,jpp-KY,3.23,-1.26,18.19308,-0.89,74.91482,-10.02,449.66884,-3.3,1290.30158,68.46,18.19308,-0.89
電子–電腦及週邊設備,電子中游-機殼,晟銘電,5.5,0.41,18.88462,-5.75,97.75744,-11.51,523.96381,4.68,2716.61921,-13.87,18.88462,-5.75
水泥工業,傳產-水泥,台泥,6.66,0.43,35.3428,1.08,114.08625,2.4,336.07497,1.96,1654.45393,-20.05,35.3428,1.08
其他,傳產-其他,世紀*,19.7,-4.2,13.37726,-2.87,26.43937,-2.87,104.92511,-20.29,1615.85722,-5.15,13.37726,-2.87
金融保險,金融-金控,第一金,3.12,-0.17,27.96761,0.85,302.8403,6.08,496.33167,2.07,1697.53206,14.66,27.96761,0.85
電子–半導體,電子下游-太陽能,中美晶,6.66,0,88.35766,8.86,175.20231,10.42,438.81126,-3.79,1701.26122,1.89,88.35766,8.86
電子–電腦及週邊設備,電子下游-筆記型電腦,宏碁,4.88,0,56.1583,-0.19,147.58248,-1.68,443.4004,-12.75,1266.20554,-23.73,56.1583,-0.19
電子–半導體,電子上游-IC-半導體設備,昇陽半導體,12.2,-1.3,237.57891,7.87,449.24599,17.07,814.97895,14.29,4311.85138,61.07,237.57891,7.87
綠能環保,傳產-綠能環保,金益鼎,0.08024,2.02,8.04425,4.2,50.84652,12.41,97.04252,37.12,256.1861,65.82,8.04425,4.2
電子–電子零組件,電子上游-PCB-製造,亞電,1.04,-1.9,8.71994,-0.14,74.10748,-6.25,258.28354,58.75,281.43916,92.41,8.71994,-0.14
電子–半導體,電子上游-IC-設計,安國,1.95,-2.02,30.63654,-12.98,145.4763,-12.06,697.09261,12.73,1581.58189,8.77,30.63654,-12.98
電子–電子零組件,電子上游-PCB-材料設備,中探針,1.79,0.2,11.19937,-1.17,47.8884,-3.62,273.75019,-3.25,575.7627,47.52,11.19937,-1.17
電子–光電,電子下游-數位相機,佳能,4.12,1.29,26.26504,-0.26,81.23159,-5.26,621.18374,-7.64,3148.35918,49.77,26.26504,-0.26
鋼鐵工業,傳產-航運,豐達科,0.05564,0.45,8.45733,6.76,19.13015,10.5,43.56969,-16.6,475.7015,21.58,8.45733,6.76
電子–其他電子,電子中游-變壓器與UPS,旭隼,6.67,3.02,53.12067,2.47,134.47908,-2.93,726.25039,-3.4,1481.97508,-42.5,53.12067,2.47
電子–半導體,電子上游-IC-封測,精材,22.7,-2.87,124.7406,25.54,154.08798,23.76,302.85855,23.76,1535.80801,-13.95,124.7406,25.54
電子–半導體,電子上游-IC-代工,世界,66.1,-0.46,193.17948,18.35,287.71387,18.48,534.31292,9.55,1833.31244,20.59,193.17948,18.35
電子–半導體,電子上游-IC-設計,瑞昱,10.8,-2.84,73.9079,8.18,335.39611,-0.94,759.86135,-2.76,3064.6961,7.81,73.9079,8.18
電子–通信網路,電子上游-半導體元件,全新,16.5,-2.33,45.22793,-0.99,149.22005,6.38,437.52647,-1.32,1889.52885,-0.58,45.22793,-0.99
化學工業,傳產-化學工業,晶呈科技,8.05,3.55,37.08853,5.14,144.41171,78.21,218.29578,57.31,397.87204,155.67,37.08853,5.14
金融保險,金融-金控,國泰金,7.54,-0.65,76.58922,0.79,523.84163,10.4,1119.74293,17,5394.185,25.47,76.58922,0.79
電子–其他電子,電子下游-其他,鼎炫-KY,0.06455,2.84,3.60777,-6.63,28.1193,-13.39,56.96212,16.33,161.87474,185.79,3.60777,-6.63
電子–電子零組件,電子上游-連接元件,詮欣,0.02533,-1.33,3.1557,-3.06,14.1335,61.13,16.70005,47.48,43.80438,-10.79,3.1557,-3.06
電子–光電,電子中游-光學鏡片,亞光,3.25,-1.4,55.56698,2.52,114.52249,3.26,313.89813,-7.47,5537.16404,-7.35,55.56698,2.52
電子–其他電子,傳產-塑膠,佶優,0.03752,0.7,8.92402,1.06,15.0535,26.39,18.17379,22.58,68.97323,2.48,8.92402,1.06
電子–通信網路,電子中游-通訊設備,昇達科,26.3,0.52,83.43516,13.55,266.32869,30.68,654.45813,70.58,2617.71879,106.89,83.43516,13.55
電子–光電,電子中游-儀器設備工程,晶彩科,5.28,0.96,40.33475,0.86,114.77334,4.56,303.06906,16.32,1038.27552,112.46,40.33475,0.86
電子–電子零組件,電子上游-被動元件,華新科,10.3,1.22,111.06429,4.7,223.84403,2.94,1196.72564,23.36,1684.55207,45.82,111.06429,4.7
電子–通信網路,電子中游-網通,啟碁,4.18,0.98,56.68324,3.54,102.69634,2.71,275.68384,-14.58,1155.07314,-13.17,56.68324,3.54
其他,傳產-其他,中租-KY,5.45,-1.42,57.29701,0.47,280.95029,5.47,531.24003,0.47,2055.18769,3.27,57.29701,0.47
電子–電子通路,電子上游-IC-通路,全達,0.00557,-1.15,2.28491,-10.03,9.05685,36.13,10.51099,30,21.02264,2.56,2.28491,-10.03
鋼鐵工業,傳產-鋼鐵,大成鋼,4.93,-0.7,49.46011,0.56,171.7934,-3.37,379.89579,-7.73,2785.90615,21.77,49.46011,0.56
電子–電子零組件,電子上游-連接元件,良維,6.01,-0.88,57.03171,-5.82,220.90971,-0.29,1013.3639,21.43,2307.82731,147.56,57.03171,-5.82
電子–光電,電子中游-LCD-零組件,瑞儀,1.86,0,30.77334,-1.21,101.82449,6.06,189.28252,-9.93,793.34491,-30.8,30.77334,-1.21
電子–半導體,電子上游-IC-半導體設備,京鼎,3.81,-1.79,19.91494,0.72,69.09572,-3.29,360.02687,-12.79,880.89892,-0.85,19.91494,0.72
電子–電腦及週邊設備,電子中游-磁碟陣列,普安,2.2,-2.73,24.18771,-0.15,91.72985,19.78,172.01092,48.31,233.17146,16.07,24.18771,-0.15
電子–電腦及週邊設備,電子下游-筆記型電腦,英業達,3.53,0,34.39591,0,101.44949,-5.51,428.54138,-5.19,1750.62705,-10.76,34.39591,0
電子–電子零組件,電子上游-PCB-製造,楠梓電,3.86,2.08,14.82475,-6.8,57.35671,-13.51,485.388,-1.03,1652.45209,115.29,14.82475,-6.8
化學工業,傳產-化學工業,雙鍵,4.14,5.71,29.2573,16.67,115.41765,49.94,136.96881,195.89,138.12866,162.03,29.2573,16.67
電子–電子零組件,電子上游-連接元件,嘉澤,36.1,0,99.72933,8.49,229.03057,7.66,716.57086,-3.77,3533.48192,-15.44,99.72933,8.49
電子–電子零組件,電子中游-散熱零組件,建準,4.85,1.3,23.2285,-4.05,77.6348,-2.84,712.68881,17.56,1512.28565,68.1,23.2285,-4.05
電機機械,傳產-其他,寶一,1.93,5.66,1.41871,0.62,5.24436,-2.87,21.81174,-18.13,1259.56255,15.88,1.41871,0.62
電子–其他電子,電子中游-儀器設備工程,洋基工程,5.07,-0.17,44.13222,4.84,169.54005,5.6,319.28613,29.71,1059.29574,47.56,44.13222,4.84
電子–其他電子,電子中游-機殼,鴻準,2.95,-0.51,23.80378,-4.05,62.35254,-9.2,354.26234,-12.43,2032.01395,-18.34,23.80378,-4.05
綠能環保,傳產-綠能環保,兆聯實業,3.83,-0.68,38.13202,5.92,178.09237,20.16,379.91677,28.6,824.49152,0,38.13202,5.92
電子–電子零組件,電子上游-PCB-材料設備,群翊,1.23,-0.17,15.4035,-1.67,79.90201,4.63,150.65875,8.49,426.20249,40.54,15.4035,-1.67
電子–電子零組件,電子上游-連接元件,廣宇,1.01,-0.84,12.75328,-3.62,47.05558,-1.03,264.5007,-11.62,2393.92203,31.23,12.75328,-3.62
電子–電腦及週邊設備,電子下游-筆記型電腦,仁寶,6.01,-1.5,35.76452,-1.15,123.57993,0.84,694.94797,-4.6,2333.07493,-13.2,35.76452,-1.15
化學工業,傳產-化學工業,材料*-KY,1.75,1.16,20.79925,-0.19,100.864,2.57,285.71716,-14.66,2997.97183,-36.34,20.79925,-0.19
鋼鐵工業,傳產-鋼鐵,長榮鋼,0.06354,0.49,7.67297,5.07,68.08017,-12.88,140.87912,-2.4,311.19973,30.23,7.67297,5.07
電子–電子零組件,電子上游-連接元件,鴻碩,0.02641,-2.81,2.27667,11.33,8.64008,90,11.53404,90,18.75715,7.14,2.27667,11.33
航運業,傳產-航運,萬海,3.22,-0.13,32.92039,0.51,125.75396,0.64,850.85918,3.94,4216.43382,5.46,32.92039,0.51
電子–半導體,電子上游-IC-代工,環宇-KY,1.62,2.15,8.49441,-8.32,198.59784,22.51,724.70918,52.92,4581.45043,69.64,8.49441,-8.32
電子–半導體,電子上游-IC-製造,強茂,2.31,0.13,36.66463,-0.75,213.53397,-12.83,1557.25485,8.31,2297.38206,73.96,36.66463,-0.75
電子–通信網路,傳產-電線電纜,聯光通,0.06925,0.55,7.66438,-14.22,80.65526,-21.93,160.01592,19.09,269.52462,8.63,7.66438,-14.22
金融保險,金融-金控,永豐金,4.51,-0.34,23.29596,2.1,152.43818,6.38,416.87098,11.66,1940.86523,38.19,23.29596,2.1
電子–半導體,電子上游-IP/ASIC,智原,6.59,-1.76,54.3287,0,112.49832,-0.29,510.03391,3.96,2582.12811,-16.43,54.3287,0
電子–電子零組件,電子下游-電腦周邊,群光,3.49,0,38.5546,-0.85,89.48471,-0.85,200.87783,-11.11,1212.99847,-19.15,38.5546,-0.85
塑膠工業,傳產-塑膠,台化,5.78,-2.45,33.79072,1.56,93.83087,0.31,377.17112,11.64,1162.17435,30.45,33.79072,1.56
金融保險,金融-金控,凱基金,3.92,-1.42,25.45492,2.03,149.73348,7.98,384.13859,16.56,1839.98537,12.75,25.45492,2.03
生技醫療,傳產-生技,保瑞,6.46,-4.61,26.75886,11.07,69.24242,5.86,277.54136,-16.49,1870.00401,-17.16,26.75886,11.07
電子–電腦及週邊設備,電子中游-二次電池,新普,2.17,0.41,20.59251,1.67,65.04781,3.41,143.53906,1.31,599.55229,-1.25,20.59251,1.67
電子–通信網路,電子中游-網通,是方,0.02522,-1.11,3.78823,-4.27,14.78953,0.87,35.82932,-7.09,103.14976,-11.54,3.78823,-4.27
電子–半導體,電子上游-IC-設計,廣穎,14.7,1.34,16.05344,25.16,30.64116,39.17,100.19344,43.92,152.17672,67.7,16.05344,25.16
電子–電子零組件,電子上游-PCB-材料設備,金居,4.34,1.57,385.30322,-7.94,1133.87093,0.39,2470.24322,15.12,9223.17935,392.75,385.30322,-7.94
電子–電子零組件,電子上游-連接元件,新日興,26.5,2.47,80.44658,10.12,177.82165,12.63,481.56686,-1.76,4234.37875,24.78,80.44658,10.12
電子–光電,電子中游-光學鏡片,玉晶光,10.6,6.3,18.34409,-4.67,101.15454,-3.71,269.72342,3.88,1202.14336,-1.33,18.34409,-4.67
電子–通信網路,電子下游-電信服務,遠傳,1.78,0.11,16.60665,0.91,79.35824,3.85,318.14158,-2.3,1351.89229,6.02,16.60665,0.91
化學工業,傳產-化學工業,三晃,0.03372,2.31,6.04153,-8.18,13.54651,35.27,15.39524,15.65,46.62909,2.02,6.04153,-8.18
電子–半導體,電子上游-IC-半導體設備,華景電,7.89,-0.73,33.95598,-10.47,182.75466,45.84,221.94078,40.74,765.6487,75.45,33.95598,-10.47
電子–半導體,電子上游-IC-設計,矽力*-KY,42.3,8.37,119.43422,15.4,184.41869,8.33,580.67395,-7.53,2312.83629,-40.1,119.43422,15.4
運動休閒,傳產-其他,寶成,2.35,1.46,19.87489,2.16,59.15566,0,185.34453,6.21,1098.1807,-8.03,19.87489,2.16
電子–其他電子,電子中游-儀器設備工程,倚強科,0.05846,-2.98,10.24138,-7.11,22.55435,19.9,31.18043,-3.03,175.04728,68.86,10.24138,-7.11
電子–光電,電子下游-太陽能,國碩,3.2,2.62,15.36785,-1.78,123.99789,7.83,171.23562,27.84,311.84977,88.59,15.36785,-1.78
電子–電子通路,電子上游-IC-通路,擎亞,3.65,1.74,24.88817,1.37,59.39968,-3.72,369.30178,14,1612.27404,50.38,24.88817,1.37
電子–電子零組件,電子中游-金屬製品,南俊國際,3.18,-1.08,22.47926,-6.92,79.90257,-6.78,386.79618,36.58,733.04947,114.49,22.47926,-6.92
電子–電子零組件,電子上游-PCB-製造,燿華,19.8,3.89,75.36884,8.82,170.65834,6.47,219.13189,11.07,636.2206,4.41,75.36884,8.82
電子–半導體,電子上游-IC-設計,旺玖,0.00764,0.88,1.96837,-10.59,5.78936,6.05,7.66178,9.62,19.56717,-6.63,1.96837,-10.59
電子–光電,電子中游-LCD-STN面板,正達,4.69,-1.35,18.11822,15.63,28.85385,19.53,71.50318,-4.35,439.93797,34.1,18.11822,15.63
食品工業,傳產-食品,統一,5.5,-0.4,46.74412,-1.95,266.32067,1.07,503.31875,-2.58,2212.36283,0.57,46.74412,-1.95
電子–其他電子,電子中游-EMS,金寶,3.49,1.1,30.84012,1.12,103.72974,-1.52,413.94084,2.72,811.29183,-3.16,30.84012,1.12
電子–光電,電子上游-LED照明及光元件,立碁,1.68,1.61,11.99548,-6.83,53.18797,-3.26,435.84745,28.2,1344.72545,45.63,11.99548,-6.83
生技醫療,傳產-生技,合一,8.59,10,10.39712,13.31,27.89821,3.62,92.18205,-0.32,530.54761,-18.08,10.39712,13.31
電子–通信網路,電子中游-通訊設備,統新,0.06184,0.56,8.50944,-9.3,103.95102,11.98,117.42812,24.72,170.37385,14.3,8.50944,-9.3
電子–其他電子,電子上游-PCB-材料設備,達航科技,0.04355,1.18,2.99367,-13.33,34.14792,-9.79,87.34699,45.69,121.60025,105.26,2.99367,-13.33
電子–半導體,電子上游-晶圓材料,IET-KY,9.11,1.92,47.22087,-7.42,409.17724,16.9,658.52724,96.58,1594.93352,253.88,47.22087,-7.42
電子–半導體,電子上游-IC-設計,點序,6.41,-7.26,37.3018,37.29,51.66118,54.01,138.07835,33.04,230.23488,182.3,37.3018,37.29
電子–電子通路,電子上游-IC-通路,聯強,6.44,1.11,32.99913,8.98,103.24678,3.27,318.30147,7.13,947.6819,-5.83,32.99913,8.98
電子–半導體,電子上游-IC-半導體設備,辛耘,1.48,0.73,31.23548,2.25,52.58834,6.72,140.56953,-9.42,1069.36896,-2.56,31.23548,2.25
電子–電腦及週邊設備,電子中游-主機板,青雲,0.06984,1.22,14.56436,-10.38,38.4616,10.51,65.74128,23.87,111.191,28.08,14.56436,-10.38
玻璃陶瓷,傳產-玻璃陶瓷,和成,1.63,10,2.33134,5.41,5.87928,8.82,15.58356,-5.85,151.12837,10.84,2.33134,5.41
汽車工業,傳產-汽車零組件,宇隆,1.19,0,11.39531,-5.02,30.45989,8.9,114.40529,2.97,676.3874,-5.89,11.39531,-5.02
數位雲端,電子中游-磁碟陣列,威聯通,0.02339,-0.75,6.88237,-11.97,27.78558,0,27.78558,0,27.78558,0,6.88237,-11.97
電子–電子零組件,電子上游-被動元件,信昌電,2.28,2.5,45.27939,-4.9,115.76619,-5.46,714.84878,29.49,858.23571,71.71,45.27939,-4.9
電子–電子零組件,電子上游-被動元件,佳邦,0.05752,0.73,10.00474,-0.12,24.89256,5.28,130.15911,17.36,258.21579,10.92,10.00474,-0.12
數位雲端,傳產-百貨,富邦媒,0.06773,0.73,7.08403,-1.45,25.0957,-4.22,62.57228,-17.71,242.40401,-32.84,7.08403,-1.45
電子–半導體,電子上游-IC-封測,捷創科技,1.16,-3.79,18.11812,-14.56,40.44911,0,40.44911,0,40.44911,0,18.11812,-14.56
